"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cetacea&taxon_reso=species"
"Access Time","Thu 2017-02-02 00:26:29 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cetacea"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.112"
"Records Found","1922"
"Records Returned","1922"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"300810","occ","","","28978","n. gen. Pakicetus n. sp. inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","8326"
"300812","occ","","","28980","Babiacetus indicus","species","53314","","Babiacetus indicus","species","53314","Bartonian","","41.3","38","8327"
"300813","occ","","","28981","n. gen. Artiocetus n. sp. clavis","species","53317","","Artiocetus clavis","species","53317","Lutetian","","47.8","41.3","8328"
"300814","occ","","","28981","Rodhocetus n. sp. balochistanensis","species","53318","","Rodhocetus balochistanensis","species","53318","Lutetian","","47.8","41.3","8328"
"300826","occ","21194","","28983","n. gen. Alabamornis n. sp. gigantea","species","63086","subjective synonym of","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","11980"
"300827","occ","","","28983","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","8335"
"348021","occ","","","32899","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","8811"
"348023","occ","15644","","32901","Georgiacetus cf. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289"
"348025","occ","","","32902","Basilosaurus cf. cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","36758"
"348026","occ","","","32903","n. gen. Natchitochia n. sp. jonesi","species","53998","","Natchitochia jonesi","species","53998","Bartonian","","41.3","38","8815"
"348028","occ","","","32905","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8817"
"348029","occ","","","32906","n. gen. Pappocetus n. sp. lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8818"
"348030","occ","","","32907","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8819"
"348041","occ","17986","","32918","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","38","33.9","12000"
"348048","occ","","","32925","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12024"
"348049","occ","","","32926","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"364216","occ","","","34521","Mesocetus n. sp. argillarius","species","69084","recombined as","Tranatocetus argillarius","species","69084","Tortonian","","11.62","7.246","9111"
"384481","occ","","","12120","n. gen. Kampholophos n. sp. serrulus","species","53143","","Kampholophos serrulus","species","53143","Serravallian","","13.82","11.62","4176"
"384535","occ","","","28986","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"389852","occ","","","37347","Hadrodelphis calvertense","species","64434","","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","10018"
"389853","occ","","","37348","n. gen. Macrokentriodon n. sp. morani","species","63627","","Macrokentriodon morani","species","63627","Serravallian","","13.82","11.62","10019"
"391699","occ","","","37598","Phoca n. sp. ambigua","species","63215","recombined as","Microcetus ambiguus","species","63215","Chattian","","28.1","23.03","36697"
"400874","occ","29218","","28975","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933"
"400875","occ","","","7299","Eocetus n. sp. wardii","species","63151","recombined as","Basilotritus wardii","species","63151","Bartonian","","41.3","38","8810"
"418955","occ","","","40693","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Early Pleistocene","","2.588","0.781","10958"
"440389","occ","","","43029","Protocetus n. sp. sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11408"
"440643","occ","","","43063","aff. Prosqualodon australis","species","58388","","Prosqualodon australis","species","58388","Early Miocene","","23.03","15.97","11413"
"460810","occ","","","45450","n. gen. Waipatia n. sp. maerewhenua","species","62904","","Waipatia maerewhenua","species","62904","Duntroonian","","27.3","25.2","11876"
"460965","occ","","","45452","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460966","occ","","","45453","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460967","occ","15670","","45454","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460968","occ","","","45455","Pomatodelphis n. sp. inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460969","occ","","","45456","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460971","occ","","","45457","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613"
"460972","occ","","","45458","n. gen. Parapontoporia n. sp. pacifica","species","62910","","Parapontoporia pacifica","species","62910","Messinian","","7.246","5.333","11878"
"460973","occ","","","45458","Piscolithax n. sp. tedfordi","species","90875","","Piscolithax tedfordi","species","90875","Messinian","","7.246","5.333","11878"
"460974","occ","","","45458","Piscolithax n. sp. boreios","species","90874","","Piscolithax boreios","species","90874","Messinian","","7.246","5.333","11878"
"460975","occ","","","45458","n. gen. Denebola n. sp. brachycephala","species","64565","","Denebola brachycephala","species","64565","Messinian","","7.246","5.333","11878"
"460976","occ","","","45459","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613"
"460977","occ","","","45460","Praekogia cedrosensis","species","53139","","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","11878"
"460979","occ","","","45460","n. gen. Albireo n. sp. whistleri","species","64532","","Albireo whistleri","species","64532","Messinian","","7.246","5.333","11878"
"460980","occ","","","18579","Squalodon calvertensis","species","68288","","Squalodon calvertensis","species","68288","Early Hemingfordian","","20.43","15.97","11874"
"460981","occ","","","18579","Phocageneus venustus","species","62956","","Phocageneus venustus","species","62956","Early Hemingfordian","","20.43","15.97","11874"
"460982","occ","","","18579","Zarhachis flagellator","species","63658","","Zarhachis flagellator","species","63658","Early Hemingfordian","","20.43","15.97","11874"
"460983","occ","15655","","18579","Schizodelphis sulcatus","species","63690","","Schizodelphis sulcatus","species","63687","Early Hemingfordian","","20.43","15.97","12196"
"460988","occ","","","45461","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Early Clarendonian","","13.6","10.3","2613"
"460990","occ","","","13079","n. gen. Ninoziphius n. sp. platyrostris","species","62912","","Ninoziphius platyrostris","species","62912","Messinian","","7.246","5.333","11880"
"460992","occ","","","45462","Pithanodelphis n. sp. nasalis","species","64570","recombined as","Atocetus nasalis","species","64570","Tortonian","","11.62","7.246","11879"
"460996","occ","","","45463","Pithanodelphis nasalis","species","64570","recombined as","Atocetus nasalis","species","64570","Late Miocene","","11.608","5.333","11879"
"461047","occ","","","45469","n. gen. Goniodelphis n. sp. hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Serravallian","","13.82","11.62","11894"
"461050","occ","","","18532","Goniodelphis hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Late Hemphillian","","10.3","4.9","2613"
"461051","occ","","","18532","Ninoziphius platyrostris","species","62912","","Ninoziphius platyrostris","species","62912","Late Hemphillian","","10.3","4.9","2613"
"461056","occ","","","18535","Goniodelphis hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Zanclean","","5.333","3.6","2613"
"461075","occ","","","18505","n. gen. Kogiopsis n. sp. floridana","species","62943","","Kogiopsis floridana","species","62943","Serravallian","","13.82","11.62","11916"
"461082","occ","","","45481","n. gen. Squaloziphius n. sp. emlongi","species","62918","","Squaloziphius emlongi","species","62918","Aquitanian","","23.03","20.44","11885"
"461084","occ","","","13079","n. gen. Piscolithax n. sp. longirostris","species","64568","","Piscolithax longirostris","species","64568","Messinian","","7.246","5.333","11888"
"461085","occ","","","45455","Schizodelphis n. sp. depressus","species","62921","subjective synonym of","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","11890"
"461086","occ","","","13079","n. gen. Pliopontos n. sp. littoralis","species","64567","","Pliopontos littoralis","species","64567","Messinian","","7.246","5.333","11891"
"461087","occ","","","13079","n. gen. Odobenocetops n. sp. peruvianus","species","62923","","Odobenocetops peruvianus","species","62923","Messinian","","7.246","5.333","11893"
"461088","occ","","","45457","Schizodelphis n. sp. bobengi","species","62924","recombined as","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","11892"
"461089","occ","","","45483","Ontocetus n. sp. oxymycterus","species","62926","recombined as","Albicetus oxymycterus","species","62926","Langhian","","15.97","13.82","11896"
"461090","occ","","","45484","n. gen. Incacetus n. sp. broggii","species","56940","","Incacetus broggii","species","56940","Aquitanian","","23.03","20.44","10150"
"461091","occ","","","45485","n. gen. Scaphokogia n. sp. cochlearis","species","62929","","Scaphokogia cochlearis","species","62929","Tortonian","","11.62","7.246","11895"
"461092","occ","","","45486","n. gen. Australithax n. sp. intermedia","species","62930","","Australithax intermedia","species","62930","Tortonian","","11.62","7.246","11895"
"461093","occ","","","45487","Brachydelphis mazeasi","species","64569","","Brachydelphis mazeasi","species","64569","Serravallian","","13.82","11.62","11895"
"461094","occ","","","45487","n. gen. Atocetus n. sp. iquensis","species","62932","","Atocetus iquensis","species","62932","Serravallian","","13.82","11.62","11895"
"461095","occ","","","45487","n. gen. Belonodelphis n. sp. peruanus","species","62934","","Belonodelphis peruanus","species","62934","Serravallian","","13.82","11.62","11895"
"461105","occ","","","45493","Zarhachis flagellator","species","63658","","Zarhachis flagellator","species","63658","Burdigalian","","20.44","15.97","11902"
"461106","occ","","","45493","n. gen. Kentriodon n. sp. pernix","species","64433","","Kentriodon pernix","species","64433","Burdigalian","","20.44","15.97","11904"
"461107","occ","","","45493","Eurhinodelphis n. sp. bossi","species","66353","recombined as","Xiphiacetus bossi","species","66353","Burdigalian","","20.44","15.97","11905"
"461108","occ","","","45494","n. gen. Australodelphis n. sp. mirus","species","62937","","Australodelphis mirus","species","62937","Zanclean","","5.333","3.6","11903"
"461109","occ","","","45495","n. gen. Idiophyseter n. sp. merriami","species","62935","","Idiophyseter merriami","species","62935","Langhian","","15.97","13.82","11906"
"461110","occ","","","45496","Cetotherium n. sp. furlongi","species","69898","","Cetotherium furlongi","species","69898","Burdigalian","","20.44","15.97","11907"
"461111","occ","","","13297","n. gen. Aulophyseter n. sp. morricei","species","63838","","Aulophyseter morricei","species","63838","Langhian","","15.97","13.82","11909"
"461112","occ","","","45498","n. gen. Parietobalaena n. sp. palmeri","species","62938","","Parietobalaena palmeri","species","62938","Langhian","","15.97","13.82","11912"
"461113","occ","12338","","45497","n. gen. Tusciziphius n. sp. crispus","species","62940","","Tusciziphius crispus","species","62940","Zanclean","","5.333","3.6","11911"
"461114","occ","","","45499","n. gen. Nannocetus n. sp. eremus","species","62941","","Nannocetus eremus","species","62941","Messinian","","7.246","5.333","11913"
"461115","occ","","","45500","n. gen. Xenorophus n. sp. sloanii","species","62942","","Xenorophus sloanii","species","62942","Rupelian","","33.9","28.1","11915"
"461121","occ","","","45502","n. gen. Pelocetus n. sp. calvertensis","species","62945","","Pelocetus calvertensis","species","62945","Langhian","","15.97","13.82","11917"
"461122","occ","","","45503","n. gen. Messapicetus n. sp. longirostris","species","62947","","Messapicetus longirostris","species","62947","Tortonian","","11.62","7.246","11918"
"461123","occ","","","45505","n. gen. Vanbreenia n. sp. trigonia","species","62950","","Vanbreenia trigonia","species","62950","Langhian","","15.97","13.82","11920"
"461126","occ","","","45502","Diorocetus hiatus","species","62951","","Diorocetus hiatus","species","62951","Langhian","","15.97","13.82","11921"
"461128","occ","","","45508","Aglaocetus n. sp. patulus","species","62952","","Aglaocetus patulus","species","62952","Langhian","","15.97","13.82","11923"
"461129","occ","","","45508","Pelocetus calvertensis","species","62945","","Pelocetus calvertensis","species","62945","Langhian","","15.97","13.82","11917"
"461130","occ","","","45502","n. gen. Hadrodelphis n. sp. calvertense","species","64434","","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","11924"
"461131","occ","","","45509","Lophocetus n. sp. pappus","species","62953","","Lophocetus pappus","species","62953","Langhian","","15.97","13.82","11925"
"461132","occ","","","45502","Lophocetus pappus","species","62953","","Lophocetus pappus","species","62953","Langhian","","15.97","13.82","11925"
"461137","occ","","","45511","Phocageneus venustus","species","62956","","Phocageneus venustus","species","62956","Burdigalian","","20.44","15.97","11926"
"461398","occ","","","45524","n. gen. Attockicetus n. sp. praecursor","species","62970","","Attockicetus praecursor","species","62970","Lutetian","","47.8","41.3","11942"
"461438","occ","","","45527","n. gen. Ambulocetus n. sp. natans","species","62971","","Ambulocetus natans","species","62971","Lutetian","","47.8","41.3","11943"
"461455","occ","","","45529","n. gen. Ichthyolestes n. sp. pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11944"
"462021","occ","","","45584","n. gen. Himalayacetus n. sp. subathuensis","species","63094","","Himalayacetus subathuensis","species","63094","Ypresian","","56","47.8","11985"
"462022","occ","","","45583","n. gen. Kutchicetus n. sp. minimus","species","63096","","Kutchicetus minimus","species","63096","Lutetian","","47.8","41.3","11985"
"462050","occ","","","45529","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.3","11990"
"462051","occ","","","45586","n. gen. Nalacetus n. sp. ratimitus","species","63098","","Nalacetus ratimitus","species","63098","Lutetian","","47.8","41.3","11990"
"462052","occ","15613","","45586","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.3","8326"
"462053","occ","","","45586","Pakicetus inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","11990"
"462054","occ","","","45587","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11990"
"462056","occ","","","28978","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11990"
"462063","occ","","","45590","n. gen. Indocetus n. sp. ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.3","11991"
"462064","occ","","","45590","Protocetus sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991"
"462065","occ","11942","","45590","Remingtonocetus harudiensis","species","63122","","Remingtonocetus harudiensis","species","53238","Lutetian","","47.8","41.3","11997"
"462066","occ","","","45590","n. gen. Andrewsiphius n. sp. minor","species","63121","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991"
"462073","occ","","","45591","n. gen. Andrewsiphius n. sp. kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991"
"462077","occ","","","45592","n. gen. Babiacetus n. sp. indicus","species","53314","","Babiacetus indicus","species","53314","Lutetian","","47.8","41.3","11993"
"462078","occ","","","45593","Dioplodon farnesinae","species","68039","subjective synonym of","Mesoplodon longirostris","species","64852","Pliocene","","5.333","2.588","12981"
"462119","occ","","","45592","Babiacetus n. sp. mishrai","species","63126","","Babiacetus mishrai","species","63126","Lutetian","","47.8","41.3","11997"
"462339","occ","","","45590","Gaviacetus n. sp. sahnii","species","63127","recombined as","Kharodacetus sahnii","species","63127","Lutetian","","47.8","41.3","11997"
"462340","occ","","","45590","Andrewsiphius kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11997"
"462341","occ","","","45592","Remingtonocetus sloani","species","63125","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11997"
"462342","occ","","","45592","Andrewsiphius kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11997"
"462343","occ","","","45592","Gaviacetus sahnii","species","63127","recombined as","Kharodacetus sahnii","species","63127","Lutetian","","47.8","41.3","11997"
"462495","occ","","","45623","Remingtonocetus n. sp. domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933"
"462496","occ","","","45623","n. gen. Qaisracetus n. sp. arifi","species","53243","","Qaisracetus arifi","species","53243","Lutetian","","47.8","41.3","7933"
"462497","occ","","","45624","Qaisracetus arifi","species","53243","","Qaisracetus arifi","species","53243","Lutetian","","47.8","41.3","7933"
"462499","occ","","","45626","n. gen. Mesocetus n. sp. schweinfurthi","species","62992","","Mesocetus schweinfurthi","species","62992","Bartonian","","41.3","38","11953"
"462507","occ","","","45627","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12017"
"462508","occ","","","6802","n. gen. Cynthiacetus n. sp. maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","38","33.9","12000"
"462509","occ","","","45628","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12018"
"462510","occ","","","45586","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","12002"
"462621","occ","11943","","45588","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Ypresian","","56","47.8","11990"
"462676","occ","","","45629","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462677","occ","","","45630","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462678","occ","","","45631","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462679","occ","","","45632","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462680","occ","","","45633","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462681","occ","","","45634","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462684","occ","19745","","45637","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"462685","occ","","","45638","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12023"
"462726","occ","","","45639","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","12026"
"462797","occ","","","16549","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8803"
"462838","occ","21554","","45653","""Prosqualodon"" hamiltoni","species","63456","","Prosqualodon hamiltoni","species","63456","Chattian","","28.1","23.03","29544"
"462843","occ","21553","","45658","""Microcetus"" hectori","species","63493","recombined as","Waipatia hectori","species","63493","Duntroonian","","27.3","25.2","29544"
"462844","occ","","","45659","n. gen. Tangaroasaurus n. sp. kakanuiensis","species","63218","","Tangaroasaurus kakanuiensis","species","63218","Langhian","","15.97","13.82","12137"
"462846","occ","","","45661","Mauicetus parki","species","64529","","Mauicetus parki","species","63214","Chattian","","28.1","23.03","15371"
"462847","occ","","","45662","n. gen. Phocaenopsis n. sp. mantelli","species","63217","","Phocaenopsis mantelli","species","63217","Altonian","","19","15.9","29253"
"462849","occ","","","45664","Prosqualodon n. sp. marplesi","species","63223","recombined as","Otekaikea marplesi","species","63223","Waitakian","","25.2","21.7","12041"
"462850","occ","","","45665","n. gen. Kekenodon n. sp. onamata","species","63137","","Kekenodon onamata","species","63137","Duntroonian","","27.3","25.2","17147"
"462854","occ","","","45660","Mauicetus waitakiensis","species","83516","recombined as","Tohoraata waitakiensis","species","83516","Duntroonian","","27.3","25.2","15371"
"462877","occ","","","45669","n. gen. Simocetus n. sp. rayi","species","63231","","Simocetus rayi","species","63231","Rupelian","","33.9","28.1","12043"
"463387","occ","","","45737","n. gen. Ferecetotherium n. sp. kelloggi","species","63229","","Ferecetotherium kelloggi","species","63229","Chattian","","28.1","23.03","12108"
"463390","occ","","","45754","n. gen. Sulakocetus n. sp. dagestanicus","species","63442","","Sulakocetus dagestanicus","species","63442","Chattian","","28.1","23.03","12109"
"463393","occ","","","45737","Squalodon n. sp. barbarus","species","63449","","Squalodon barbarus","species","63449","Chattian","","28.1","23.03","12109"
"463411","occ","","","45737","n. gen. Atropatenocetus n. sp. posteocenicus","species","63454","","Atropatenocetus posteocenicus","species","63454","Chattian","","28.1","23.03","12120"
"463419","occ","15612","","45761","Zeuglodon n. sp. pygmaeus","species","63209","recombined as","Agorophius pygmaeus","species","63209","Rupelian","","33.9","28.1","15395"
"463490","occ","","","45737","n. gen. Oligodelphis n. sp. azerbajdzanicus","species","63250","","Oligodelphis azerbajdzanicus","species","63250","Chattian","","28.1","23.03","12109"
"463508","occ","","","45737","n. gen. Iniopsis n. sp. caucasica","species","63248","","Iniopsis caucasica","species","63248","Chattian","","28.1","23.03","12109"
